hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
15/5/2025-12:21:16::1::16::160,0.044307217,0.0026287965,0.9292795,0.0017535769,398.76495,23.659168,8363.516,15.782192,,
15/5/2025-12:21:16::1::16::160,0.044307217,0.0026287965,0.9292795,0.0017535769,398.76495,23.659168,8363.516,15.782192,,
15/5/2025-12:21:16::2::22::228,0.04121892,0.004321715,0.7884445,0.0016292466,370.9703,38.895435,7096.0005,14.663219,,
15/5/2025-12:21:16::2::26::268,0.034153536,0.0040420895,0.6937822,0.0014280602,307.38184,36.378807,6244.04,12.852542,,
15/5/2025-12:21:16::3::30::300,0.024708387,0.003243194,0.79733014,0.0013760205,222.37547,29.188745,7175.971,12.384184,,
15/5/2025-12:21:16::3::33::334,0.028114099,0.003211856,0.7444929,0.001518546,253.02689,28.906702,6700.436,13.666914,,
15/5/2025-12:21:16::3::37::371,0.03789371,0.0044298857,0.8549083,0.001315306,341.04337,39.86897,7694.175,11.837754,,
15/5/2025-12:21:16::4::40::403,0.036809366,0.0036995506,0.69015443,0.0012538333,331.2843,33.295956,6211.39,11.2845,,
15/5/2025-12:21:16::4::43::436,0.038311187,0.002808504,0.73841405,0.0012958627,344.8007,25.276537,6645.7266,11.662765,,
15/5/2025-12:21:17::5::50::504,0.038291056,0.0024059229,0.71671367,0.0012234696,344.6195,21.653305,6450.423,11.011227,,
15/5/2025-12:21:17::5::50::504,0.038291056,0.0024059229,0.71671367,0.0012234696,344.6195,21.653305,6450.423,11.011227,,
15/5/2025-12:21:17::5::54::540,0.03762518,0.0036142298,0.80131483,0.0017671072,338.62662,32.52807,7211.8335,15.903964,,
15/5/2025-12:21:17::5::57::576,0.03742821,0.003916593,0.7943257,0.0020404777,336.8539,35.249336,7148.9316,18.3643,,
15/5/2025-12:21:17::6::61::613,0.037553795,0.0028162072,0.65788895,0.0016657535,337.98416,25.345865,5921.0005,14.991782,,
15/5/2025-12:21:17::6::65::657,0.03817793,0.004588884,0.8698391,0.001751221,343.60138,41.299953,7828.552,15.760989,,
15/5/2025-12:21:17::6::69::697,0.037792113,0.0041912314,0.78856325,0.0015847152,340.129,37.721085,7097.0693,14.262437,,
15/5/2025-12:21:17::7::73::735,0.034756556,0.004283814,0.54345167,0.0017958529,312.80902,38.55433,4891.065,16.162676,,
15/5/2025-12:21:17::7::77::776,0.036758896,0.003490254,0.41190034,0.0016597818,330.83008,31.412287,3707.103,14.938036,,
15/5/2025-12:21:17::8::81::817,0.03791863,0.004842391,0.6814951,0.0015923922,341.26767,43.581516,6133.4556,14.33153,,
15/5/2025-12:21:17::8::85::853,0.03850512,0.0037423922,0.9418206,0.0014432833,346.54608,33.68153,8476.386,12.98955,,
15/5/2025-12:21:17::8::89::892,0.03821656,0.002948257,0.651942,0.001617528,343.94904,26.534311,5867.478,14.557753,,
15/5/2025-12:21:17::9::93::933,0.039222248,0.0037968792,0.81417525,0.0022255317,353.00024,34.171913,7327.577,20.029785,,
15/5/2025-12:21:17::9::97::974,0.03808908,0.003591648,0.7811897,0.0023109007,342.80173,32.324833,7030.707,20.798107,,
15/5/2025-12:21:17::0::1::10,0.036192592,0.00295639,0.7312883,0.002778647,325.73334,26.60751,6581.5947,25.007822,,
15/5/2025-12:21:17::0::1::10,0.036192592,0.00295639,0.7312883,0.002778647,325.73334,26.60751,6581.5947,25.007822,,
15/5/2025-12:21:17::0::7::77,0.0350853,0.0022875862,0.556489,0.00261526,315.76773,20.588276,5008.401,23.53734,,
15/5/2025-12:21:17::1::11::112,0.028279914,0.0044142487,0.5599268,0.0025372503,254.51923,39.728237,5039.3413,22.835253,,
15/5/2025-12:21:17::1::11::112,0.028279914,0.0044142487,0.5599268,0.0025372503,254.51923,39.728237,5039.3413,22.835253,,
15/5/2025-12:21:17::1::17::179,0.035913482,0.003062892,0.73787457,0.0024849884,323.22134,27.566029,6640.871,22.364895,,
15/5/2025-12:21:17::2::27::270,0.037129942,0.004487121,0.71934015,0.0018156773,334.1695,40.38409,6474.0615,16.341095,,
15/5/2025-12:21:17::2::27::270,0.037129942,0.004487121,0.71934015,0.0018156773,334.1695,40.38409,6474.0615,16.341095,,
15/5/2025-12:21:17::3::30::304,0.037135735,0.0028701082,0.5765382,0.0014293276,334.22162,25.830975,5188.8438,12.863949,,
15/5/2025-12:21:17::3::34::340,0.040274266,0.0022930072,1.0,0.001653101,362.46838,20.637066,9575.944,14.877909,,
15/5/2025-12:21:17::4::40::400,0.04107128,0.004518884,0.9008152,0.0014524648,369.64154,40.669952,8107.337,13.072184,,
15/5/2025-12:21:17::4::44::441,0.03942061,0.004197093,0.8106768,0.001318633,354.7855,37.773838,7296.0913,11.867697,,
15/5/2025-12:21:18::4::48::486,0.037797958,0.0027810782,0.85208553,0.0014676853,340.1816,25.029703,7668.77,13.2091675,,
15/5/2025-12:21:18::5::52::522,0.03899192,0.004081287,0.9684977,0.0015078455,350.92728,36.731583,8716.4795,13.570609,,
15/5/2025-12:21:18::5::56::567,0.038990833,0.0042267526,0.80162036,0.0012962364,350.91748,38.04077,7214.5835,11.666128,,
15/5/2025-12:21:18::6::60::607,0.04050187,0.002828829,0.914177,0.0013476971,364.5168,25.459461,8227.593,12.129274,,
15/5/2025-12:21:18::6::64::648,0.038204584,0.0022568514,0.68968725,0.001256399,343.84125,20.311663,6207.185,11.3075905,,
15/5/2025-12:21:18::6::68::689,0.03716435,0.0036346656,0.8634119,0.0013010052,334.47916,32.71199,7770.707,11.709047,,
15/5/2025-12:21:18::7::72::727,0.038008753,0.0046874383,0.79453635,0.0016212504,342.07877,42.186943,7150.827,14.591253,,
15/5/2025-12:21:18::7::77::778,0.038603384,0.0045399787,0.73563635,0.0016402885,347.43045,40.85981,6620.727,14.762597,,
15/5/2025-12:21:18::8::81::811,0.037887786,0.0045783,0.7172676,0.0017323842,340.99008,41.2047,6455.408,15.591457,,
15/5/2025-12:21:18::8::84::845,0.04923036,0.004776501,0.89940566,0.0015863843,443.07324,42.98851,8094.651,14.277458,,
15/5/2025-12:21:18::9::91::915,0.03079387,0.0031238245,0.64904946,0.0015005494,277.14484,28.11442,5841.4453,13.504945,,
15/5/2025-12:21:18::9::91::915,0.025178107,0.0048510116,0.6825787,0.0015337366,226.60297,43.659103,6143.208,13.803629,,
15/5/2025-12:21:18::9::95::954,0.040546022,0.0039189076,0.8126559,0.0014124755,364.91418,35.27017,7313.9033,12.712279,,
15/5/2025-12:21:18::9::95::954,0.040546022,0.0039189076,0.8126559,0.0014124755,364.91418,35.27017,7313.9033,12.712279,,
15/5/2025-12:21:18::0::3::39,0.035784997,0.0060956986,0.4786223,0.001202935,322.06497,54.861286,4307.6006,10.826415,,
15/5/2025-12:21:18::0::7::74,0.03517838,0.004259551,0.53309405,0.0010288594,316.6054,38.33596,4797.846,9.259734,,
15/5/2025-12:21:18::1::11::115,0.036909655,0.0030044494,0.59954864,0.0012044401,332.1869,27.040045,5395.938,10.839961,,
15/5/2025-12:21:18::1::11::115,0.036909655,0.0030044494,0.59954864,0.0012044401,332.1869,27.040045,5395.938,10.839961,,
15/5/2025-12:21:18::1::18::182,0.037062228,0.005024843,0.7610911,0.0011800838,333.56006,45.223587,6849.82,10.620754,,
15/5/2025-12:21:18::2::21::216,0.03702505,0.003412241,0.969554,0.0010724947,333.22543,30.71017,8725.986,9.652452,,
15/5/2025-12:21:18::2::25::251,0.037886333,0.0025431218,0.7807433,0.0013536164,340.977,22.888096,7026.6895,12.182548,,
15/5/2025-12:21:18::2::28::286,0.03729471,0.005340307,0.6099021,0.0013991218,335.65237,48.062763,5489.1187,12.592096,,
15/5/2025-12:21:18::3::31::319,0.037249554,0.0036657813,0.5883233,0.0010879377,335.246,32.99203,5294.9097,9.79144,,
15/5/2025-12:21:18::3::31::319,0.037249554,0.0036657813,0.5883233,0.0010879377,335.246,32.99203,5294.9097,9.79144,,
15/5/2025-12:21:18::3::38::384,0.0369278,0.0040330547,0.72152007,0.0011851981,332.3502,36.297493,6493.6807,10.666782,,
15/5/2025-12:21:18::4::41::416,0.043991905,0.0048781373,0.7704833,0.0012817783,395.92715,43.903236,6934.3496,11.536005,,
15/5/2025-12:21:18::4::45::451,0.046748262,0.0033606319,0.8915448,0.0012051933,420.73434,30.245687,8023.9033,10.84674,,
15/5/2025-12:21:19::4::48::485,0.042984914,0.0042719194,0.90496373,0.0016598452,386.86423,38.447273,8144.674,14.938607,,
15/5/2025-12:21:19::5::55::552,0.039413992,0.0057804114,0.9192434,0.0013088549,354.72592,52.0237,8273.19,11.779695,,
15/5/2025-12:21:19::5::58::587,0.037341475,0.004061886,0.9284377,0.001223891,336.07327,36.556976,8355.939,11.015019,,
15/5/2025-12:21:19::5::58::587,0.037341475,0.004061886,0.9284377,0.001223891,336.07327,36.556976,8355.939,11.015019,,
15/5/2025-12:21:19::6::62::621,0.038501754,0.005459422,0.76116765,0.0013278736,346.51578,49.134796,6850.509,11.950862,,
15/5/2025-12:21:19::6::65::653,0.045652233,0.0048688967,0.6329043,0.0013909228,410.8701,43.82007,5696.1387,12.518305,,
15/5/2025-12:21:19::6::68::687,0.033118863,0.0048482385,0.5112146,0.0013775409,298.06976,43.634148,4600.9316,12.397868,,
15/5/2025-12:21:19::7::75::752,0.026074842,0.0039141485,0.5914587,0.0013657156,234.67357,35.227337,5323.128,12.291441,,
15/5/2025-12:21:19::7::75::752,0.040684734,0.0053862715,0.80511284,0.0017934532,366.1626,48.476444,7246.0156,16.141079,,
15/5/2025-12:21:19::8::82::826,0.038437326,0.0041298214,0.7722132,0.0014251535,345.9359,37.168392,6949.919,12.826381,,
15/5/2025-12:21:19::8::82::826,0.038437326,0.0041298214,0.7722132,0.0014251535,345.9359,37.168392,6949.919,12.826381,,
15/5/2025-12:21:19::8::85::859,0.03931915,0.0037089728,0.85845906,0.0011540907,353.87234,33.380756,7726.1313,10.386817,,
15/5/2025-12:21:19::8::89::893,0.038885947,0.003732719,0.807835,0.0013996059,349.97354,33.59447,7270.5146,12.596453,,
15/5/2025-12:21:19::9::92::927,0.037811145,0.003933348,0.8844238,0.0013984096,340.3003,35.400135,7959.814,12.585687,,
15/5/2025-12:21:19::9::99::995,0.038310207,0.0037756602,0.92244226,0.0013895241,344.79187,33.98094,8301.98,12.505717,,
15/5/2025-12:21:19::0::2::28,0.037178293,0.0041219266,1.0,0.001287255,334.60464,37.09734,9705.511,11.585295,,
15/5/2025-12:21:19::0::2::28,0.037178293,0.0041219266,1.0,0.001287255,334.60464,37.09734,9705.511,11.585295,,
15/5/2025-12:21:19::0::6::61,0.036992874,0.0047612977,0.7826037,0.0013066009,332.93585,42.85168,7043.433,11.759408,,
15/5/2025-12:21:19::0::9::95,0.037755847,0.003703331,0.6767918,0.0015144395,339.8026,33.32998,6091.126,13.629955,,
15/5/2025-12:21:19::1::12::129,0.037502058,0.0042632525,0.9613866,0.0014396416,337.51852,38.36927,8652.4795,12.956774,,
15/5/2025-12:21:19::1::12::129,0.037502058,0.0042632525,0.9613866,0.0014396416,337.51852,38.36927,8652.4795,12.956774,,
15/5/2025-12:21:19::1::19::195,0.036831293,0.0046457956,0.76443726,0.0016878328,331.48163,41.81216,6879.9355,15.190495,,
15/5/2025-12:21:19::2::22::227,0.03800577,0.0046141744,0.75981486,0.0016142522,342.0519,41.52757,6838.334,14.52827,,
15/5/2025-12:21:19::2::26::261,0.03594683,0.0043134694,0.85060585,0.0018517827,323.52148,38.821224,7655.4526,16.666044,,
15/5/2025-12:21:19::2::29::299,0.036349244,0.0046086214,0.76796156,0.0019231298,327.1432,41.477592,6911.6543,17.308168,,
15/5/2025-12:21:19::3::33::332,0.038176287,0.004364122,0.84053195,0.0015500165,343.58658,39.2771,7564.7876,13.950148,,
15/5/2025-12:21:19::3::36::367,0.037617166,0.0045607863,0.7878132,0.0019305822,338.55447,41.047077,7090.319,17.37524,,
15/5/2025-12:21:19::4::40::400,0.037791133,0.0046913293,0.90721613,0.0015878116,340.1202,42.221966,8164.9453,14.290304,,
15/5/2025-12:21:19::4::40::400,0.037791133,0.0046913293,0.90721613,0.0015878116,340.1202,42.221966,8164.9453,14.290304,,
